speaker_id,video_id,audio_file,file_path,duration,sample_rate,channels,format,subtype,label
id10976,OIMjmaeRaBw,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10976\OIMjmaeRaBw\00004.wav,4.7600625,16000,1,WAV,PCM_16,74
id11181,VTnur1vb0u4,00006.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11181\VTnur1vb0u4\00006.wav,9.5600625,16000,1,WAV,PCM_16,91
id10234,4PzEhoOxJAU,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10234\4PzEhoOxJAU\00002.wav,11.0400625,16000,1,WAV,PCM_16,13
id10890,C1FJquIox2Y,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10890\C1FJquIox2Y\00001.wav,4.1600625,16000,1,WAV,PCM_16,66
id10506,G-5lOHt4c5Y,00005.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10506\G-5lOHt4c5Y\00005.wav,4.8800625,16000,1,WAV,PCM_16,36
id10642,mk_vu2H9QA8,00007.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10642\mk_vu2H9QA8\00007.wav,4.6800625,16000,1,WAV,PCM_16,45
id10804,9QXota4sh7Q,00036.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10804\9QXota4sh7Q\00036.wav,5.2400625,16000,1,WAV,PCM_16,60
id10789,uH3cFAJv8xs,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10789\uH3cFAJv8xs\00002.wav,6.1600625,16000,1,WAV,PCM_16,57
id10497,AyU0HNwyWD0,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10497\AyU0HNwyWD0\00002.wav,11.6000625,16000,1,WAV,PCM_16,34
id10408,FXIB8s43MUY,00011.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10408\FXIB8s43MUY\00011.wav,6.4800625,16000,1,WAV,PCM_16,27
id10869,dBmkWExGsYQ,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10869\dBmkWExGsYQ\00004.wav,6.0000625,16000,1,WAV,PCM_16,64
id10853,m6Eay2oqd94,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10853\m6Eay2oqd94\00008.wav,4.5200625,16000,1,WAV,PCM_16,63
id11142,komX0AFGptk,00006.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11142\komX0AFGptk\00006.wav,8.6000625,16000,1,WAV,PCM_16,86
id10363,JA7qQaiAqLE,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10363\JA7qQaiAqLE\00004.wav,9.6000625,16000,1,WAV,PCM_16,23
id10009,vy8sQ82o0fM,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10009\vy8sQ82o0fM\00004.wav,5.6400625,16000,1,WAV,PCM_16,1
id10329,vnGHamxUmOc,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10329\vnGHamxUmOc\00004.wav,7.2400625,16000,1,WAV,PCM_16,19
id10408,W4U-6RqqSv8,00005.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10408\W4U-6RqqSv8\00005.wav,7.6400625,16000,1,WAV,PCM_16,27
id10491,W-KwNX03iHM,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10491\W-KwNX03iHM\00003.wav,5.0000625,16000,1,WAV,PCM_16,32
id11165,OYuBhlXaS70,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11165\OYuBhlXaS70\00008.wav,7.6400625,16000,1,WAV,PCM_16,88
id10497,Pj1x92qUNLY,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10497\Pj1x92qUNLY\00001.wav,4.1200625,16000,1,WAV,PCM_16,34
id10188,A24Ht4QXalQ,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10188\A24Ht4QXalQ\00002.wav,5.8000625,16000,1,WAV,PCM_16,8
id10234,4PzEhoOxJAU,00010.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10234\4PzEhoOxJAU\00010.wav,8.5600625,16000,1,WAV,PCM_16,13
id10642,k_Pt6x6zl70,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10642\k_Pt6x6zl70\00002.wav,4.1200625,16000,1,WAV,PCM_16,45
id10177,DX8iZlTAv0E,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10177\DX8iZlTAv0E\00004.wav,18.8000625,16000,1,WAV,PCM_16,6
id11181,SZaaaWjpZA4,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11181\SZaaaWjpZA4\00003.wav,7.6400625,16000,1,WAV,PCM_16,91
id11031,tkn_Bkm6K2o,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11031\tkn_Bkm6K2o\00008.wav,16.0000625,16000,1,WAV,PCM_16,79
id11197,_x83Xznk_2g,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11197\_x83Xznk_2g\00003.wav,4.0800625,16000,1,WAV,PCM_16,94
id10363,_0VU5sCa7Pc,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10363\_0VU5sCa7Pc\00008.wav,11.9600625,16000,1,WAV,PCM_16,23
id10193,1hEr7qKRKL4,00010.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10193\1hEr7qKRKL4\00010.wav,4.6000625,16000,1,WAV,PCM_16,9
id10038,7Gd4Fz2UNxQ,00013.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10038\7Gd4Fz2UNxQ\00013.wav,15.0400625,16000,1,WAV,PCM_16,2
id11228,Ue-lEY6tcUw,00007.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11228\Ue-lEY6tcUw\00007.wav,6.4000625,16000,1,WAV,PCM_16,99
id10540,iRkHvk4buos,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10540\iRkHvk4buos\00008.wav,4.6800625,16000,1,WAV,PCM_16,39
id10976,FfKvI_HhRmM,00028.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10976\FfKvI_HhRmM\00028.wav,7.3600625,16000,1,WAV,PCM_16,74
id10942,9joTbCx9dzE,00027.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10942\9joTbCx9dzE\00027.wav,13.5200625,16000,1,WAV,PCM_16,70
id10718,U-blKAyFSGY,00005.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10718\U-blKAyFSGY\00005.wav,7.8000625,16000,1,WAV,PCM_16,51
id11142,komX0AFGptk,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11142\komX0AFGptk\00002.wav,6.1200625,16000,1,WAV,PCM_16,86
id11200,DN4-4OdikRY,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11200\DN4-4OdikRY\00003.wav,4.4800625,16000,1,WAV,PCM_16,95
id11083,ltiC9NlMIDw,00041.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11083\ltiC9NlMIDw\00041.wav,13.2800625,16000,1,WAV,PCM_16,82
id10962,vtBmzdvjGi8,00006.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10962\vtBmzdvjGi8\00006.wav,15.1200625,16000,1,WAV,PCM_16,73
id10789,zXLJTCRdMFE,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10789\zXLJTCRdMFE\00002.wav,7.3600625,16000,1,WAV,PCM_16,57
id10505,aWFhgzqZLig,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10505\aWFhgzqZLig\00008.wav,6.6400625,16000,1,WAV,PCM_16,35
id10470,4dPZAlWNv1I,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10470\4dPZAlWNv1I\00001.wav,4.9600625,16000,1,WAV,PCM_16,30
id10267,HwhLFnLFffU,00010.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10267\HwhLFnLFffU\00010.wav,5.2000625,16000,1,WAV,PCM_16,16
id11067,QKX7YR5lz-s,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11067\QKX7YR5lz-s\00002.wav,8.6800625,16000,1,WAV,PCM_16,81
id11042,MkJyBzF9aJc,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11042\MkJyBzF9aJc\00001.wav,13.5600625,16000,1,WAV,PCM_16,80
id11173,hH6RstvIkVY,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11173\hH6RstvIkVY\00003.wav,8.8000625,16000,1,WAV,PCM_16,89
id10961,TEa-X67ciGY,00009.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10961\TEa-X67ciGY\00009.wav,6.0000625,16000,1,WAV,PCM_16,72
id11150,5b5Ucoylais,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11150\5b5Ucoylais\00001.wav,4.2800625,16000,1,WAV,PCM_16,87
id11042,Beg96w0fPL8,00013.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11042\Beg96w0fPL8\00013.wav,8.7200625,16000,1,WAV,PCM_16,80
id10962,9nnxB1aFo_Y,00006.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10962\9nnxB1aFo_Y\00006.wav,4.6000625,16000,1,WAV,PCM_16,73
id11123,G8OqSglsP68,00006.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11123\G8OqSglsP68\00006.wav,15.7200625,16000,1,WAV,PCM_16,83
id11175,p1SQEcYYEI4,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11175\p1SQEcYYEI4\00003.wav,7.2000625,16000,1,WAV,PCM_16,90
id10574,etd0zyDhItQ,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10574\etd0zyDhItQ\00003.wav,6.6400625,16000,1,WAV,PCM_16,42
id11207,MbxZjzjqZoo,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11207\MbxZjzjqZoo\00004.wav,10.2000625,16000,1,WAV,PCM_16,97
id10962,iG4cmbKZXio,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10962\iG4cmbKZXio\00002.wav,4.2400625,16000,1,WAV,PCM_16,73
id10204,Vvyi8Od56aU,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10204\Vvyi8Od56aU\00004.wav,4.8800625,16000,1,WAV,PCM_16,12
id10234,4PzEhoOxJAU,00027.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10234\4PzEhoOxJAU\00027.wav,5.2800625,16000,1,WAV,PCM_16,13
id10038,HyFp8-da6OI,00005.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10038\HyFp8-da6OI\00005.wav,10.8800625,16000,1,WAV,PCM_16,2
id10540,JZEz8mytrM8,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10540\JZEz8mytrM8\00003.wav,37.4800625,16000,1,WAV,PCM_16,39
id10060,LQV_TmdoHQY,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10060\LQV_TmdoHQY\00002.wav,10.7200625,16000,1,WAV,PCM_16,3
id10667,9Tpq6DkpKlw,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10667\9Tpq6DkpKlw\00001.wav,4.0400625,16000,1,WAV,PCM_16,48
id10976,FfKvI_HhRmM,00006.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10976\FfKvI_HhRmM\00006.wav,11.7600625,16000,1,WAV,PCM_16,74
id10840,U9duwXJyt0k,00017.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10840\U9duwXJyt0k\00017.wav,5.1600625,16000,1,WAV,PCM_16,62
id11128,lqoFwQvlN1Y,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11128\lqoFwQvlN1Y\00001.wav,6.9600625,16000,1,WAV,PCM_16,84
id11193,6Mu5_lUKXG0,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11193\6Mu5_lUKXG0\00001.wav,5.4800625,16000,1,WAV,PCM_16,92
id11031,DlKHRXhFKnA,00007.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11031\DlKHRXhFKnA\00007.wav,4.6000625,16000,1,WAV,PCM_16,79
id10853,m6Eay2oqd94,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10853\m6Eay2oqd94\00002.wav,7.6000625,16000,1,WAV,PCM_16,63
id10494,8IUTwaIWPBc,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10494\8IUTwaIWPBc\00003.wav,6.6000625,16000,1,WAV,PCM_16,33
id11138,ueTaWV86Ldg,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11138\ueTaWV86Ldg\00008.wav,3.9600625,16000,1,WAV,PCM_16,85
id10667,oUiSeIRwzCs,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10667\oUiSeIRwzCs\00001.wav,4.4800625,16000,1,WAV,PCM_16,48
id11193,IKFx7CO8fb4,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11193\IKFx7CO8fb4\00003.wav,4.2400625,16000,1,WAV,PCM_16,92
id10889,9UNh75xkMqQ,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10889\9UNh75xkMqQ\00002.wav,5.6400625,16000,1,WAV,PCM_16,65
id11193,kAO3J91CuAg,00012.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11193\kAO3J91CuAg\00012.wav,4.0400625,16000,1,WAV,PCM_16,92
id10853,0gDQIB6AHw0,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10853\0gDQIB6AHw0\00001.wav,8.6800625,16000,1,WAV,PCM_16,63
id10408,8x1t8P-UQpY,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10408\8x1t8P-UQpY\00001.wav,5.1200625,16000,1,WAV,PCM_16,27
id11193,XL3B5tHpj1Y,00009.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11193\XL3B5tHpj1Y\00009.wav,8.3200625,16000,1,WAV,PCM_16,92
id10268,rAHdNd6rQ0I,00005.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10268\rAHdNd6rQ0I\00005.wav,5.7600625,16000,1,WAV,PCM_16,17
id10574,Xen8VkI0pBY,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10574\Xen8VkI0pBY\00002.wav,14.7200625,16000,1,WAV,PCM_16,42
id10818,VaxjUkL42s4,00014.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10818\VaxjUkL42s4\00014.wav,5.8000625,16000,1,WAV,PCM_16,61
id10668,D0t_46qPenI,00006.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10668\D0t_46qPenI\00006.wav,11.9600625,16000,1,WAV,PCM_16,49
id10932,IHGVJEvRo-c,00014.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10932\IHGVJEvRo-c\00014.wav,5.9600625,16000,1,WAV,PCM_16,69
id10268,KDnGwU4mCeI,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10268\KDnGwU4mCeI\00003.wav,4.9200625,16000,1,WAV,PCM_16,17
id10268,_Q4QxnUNqbo,00007.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10268\_Q4QxnUNqbo\00007.wav,7.8400625,16000,1,WAV,PCM_16,17
id10009,seo9TTTEoE4,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10009\seo9TTTEoE4\00002.wav,5.6800625,16000,1,WAV,PCM_16,1
id11067,UMUTDdFRs98,00005.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11067\UMUTDdFRs98\00005.wav,4.4400625,16000,1,WAV,PCM_16,81
id10181,attCahalLEM,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10181\attCahalLEM\00002.wav,14.4800625,16000,1,WAV,PCM_16,7
id10202,rxMW3ZT6oZc,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10202\rxMW3ZT6oZc\00008.wav,8.5200625,16000,1,WAV,PCM_16,11
id11018,hqI83i-xG7M,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11018\hqI83i-xG7M\00004.wav,8.7200625,16000,1,WAV,PCM_16,78
id10464,6V6KIElDPWw,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10464\6V6KIElDPWw\00008.wav,6.7200625,16000,1,WAV,PCM_16,29
id10869,Ly8VS-1WuUs,00008.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10869\Ly8VS-1WuUs\00008.wav,5.5200625,16000,1,WAV,PCM_16,64
id11228,x6O8O_n5YZ8,00009.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11228\x6O8O_n5YZ8\00009.wav,13.2000625,16000,1,WAV,PCM_16,99
id11018,Uw4aemm1UjA,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11018\Uw4aemm1UjA\00001.wav,4.3200625,16000,1,WAV,PCM_16,78
id10007,CzQPAaPrC-E,00019.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10007\CzQPAaPrC-E\00019.wav,12.2000625,16000,1,WAV,PCM_16,0
id10853,aRJ6U3QAOek,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10853\aRJ6U3QAOek\00001.wav,5.0000625,16000,1,WAV,PCM_16,63
id11042,Beg96w0fPL8,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11042\Beg96w0fPL8\00001.wav,5.3600625,16000,1,WAV,PCM_16,80
id10889,DxZaPGUIX50,00017.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10889\DxZaPGUIX50\00017.wav,8.4400625,16000,1,WAV,PCM_16,65
id10986,Vzqmi3MAixQ,00012.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10986\Vzqmi3MAixQ\00012.wav,20.7600625,16000,1,WAV,PCM_16,75
id10962,ObewI1lwtfY,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10962\ObewI1lwtfY\00001.wav,12.6400625,16000,1,WAV,PCM_16,73
id10234,0uY88Vk3jJs,00005.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10234\0uY88Vk3jJs\00005.wav,7.3600625,16000,1,WAV,PCM_16,13
id10540,G2W41pvvZs0,00021.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10540\G2W41pvvZs0\00021.wav,6.4400625,16000,1,WAV,PCM_16,39
id11175,zSHf5VEQVyE,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11175\zSHf5VEQVyE\00002.wav,6.8400625,16000,1,WAV,PCM_16,90
id10601,S13Sxa-dMcs,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10601\S13Sxa-dMcs\00003.wav,11.1600625,16000,1,WAV,PCM_16,43
id11202,2FgveNLCJHg,00013.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11202\2FgveNLCJHg\00013.wav,16.5200625,16000,1,WAV,PCM_16,96
id10329,FqQRAEH9NzU,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10329\FqQRAEH9NzU\00001.wav,36.0000625,16000,1,WAV,PCM_16,19
id10540,G2W41pvvZs0,00026.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10540\G2W41pvvZs0\00026.wav,13.0000625,16000,1,WAV,PCM_16,39
id10328,4Aobq3ON3Ak,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10328\4Aobq3ON3Ak\00004.wav,4.3200625,16000,1,WAV,PCM_16,18
id10204,zKlKNpu7jhs,00012.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10204\zKlKNpu7jhs\00012.wav,11.8400625,16000,1,WAV,PCM_16,12
id10385,puxVc_XHG-I,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10385\puxVc_XHG-I\00001.wav,8.0400625,16000,1,WAV,PCM_16,26
id11042,8oSlg7bJ8Ac,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11042\8oSlg7bJ8Ac\00002.wav,5.8400625,16000,1,WAV,PCM_16,80
id10328,4Aobq3ON3Ak,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10328\4Aobq3ON3Ak\00003.wav,4.8800625,16000,1,WAV,PCM_16,18
id10642,Pz9np_gxN6E,00024.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10642\Pz9np_gxN6E\00024.wav,4.7600625,16000,1,WAV,PCM_16,45
id10698,cXSO8LLS3Nw,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10698\cXSO8LLS3Nw\00001.wav,12.7200625,16000,1,WAV,PCM_16,50
id11042,Gq5HrgnqlK8,00018.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11042\Gq5HrgnqlK8\00018.wav,11.8400625,16000,1,WAV,PCM_16,80
id10510,X_NJzT2HTQk,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10510\X_NJzT2HTQk\00002.wav,4.2000625,16000,1,WAV,PCM_16,37
id10663,kYL7s5lF_dY,00004.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10663\kYL7s5lF_dY\00004.wav,4.9600625,16000,1,WAV,PCM_16,47
id10328,0u-gr1_x7oY,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10328\0u-gr1_x7oY\00001.wav,20.0800625,16000,1,WAV,PCM_16,18
id10986,Vzqmi3MAixQ,00054.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10986\Vzqmi3MAixQ\00054.wav,16.0000625,16000,1,WAV,PCM_16,75
id10494,4m2nlCXc7gk,00001.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10494\4m2nlCXc7gk\00001.wav,4.6000625,16000,1,WAV,PCM_16,33
id10470,exeavbN__dI,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10470\exeavbN__dI\00002.wav,4.4400625,16000,1,WAV,PCM_16,30
id10506,4OTQV48qBoY,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10506\4OTQV48qBoY\00002.wav,4.1600625,16000,1,WAV,PCM_16,36
id11083,e216s0XVJIA,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11083\e216s0XVJIA\00003.wav,6.2000625,16000,1,WAV,PCM_16,82
id10268,FGwsY_XS2QM,00003.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id10268\FGwsY_XS2QM\00003.wav,9.9200625,16000,1,WAV,PCM_16,17
id11228,7TIVcafjRy8,00002.wav,D:\Internship_projects\biome-internship-projects\Task5\data\vox1_dev_wav\wav\id11228\7TIVcafjRy8\00002.wav,4.3600625,16000,1,WAV,PCM_16,99
